,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
392,324494,01/01/2008,Terça,06:30:00,MG,116,526.8,CARATINGA,Desobediência à sinalização,Colisão com objeto móvel,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2008,1,0,1,0,0,0,1,1
14667,340602,01/01/2008,Terça,16:30:00,MG,153,42,CANAPOLIS,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,Rural,2008,4,0,3,0,1,0,3,1
406,324517,01/01/2008,Terça,21:40:00,MG,381,480.5,BETIM,Outras,Saída de Pista,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Curva,Urbano,2008,1,0,0,0,1,0,0,1
845,325188,01/01/2008,Terça,08:40:00,MG,135,503.5,JOAQUIM FELICIO,Outras,Saída de Pista,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Reta,Rural,2008,1,0,0,0,1,0,0,1
434,324568,01/01/2008,Terça,02:00:00,MG,116,277.9,TEOFILO OTONI,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2008,3,0,1,0,2,0,1,2
812,325130,01/01/2008,Terça,06:00:00,MG,381,913,ITAPEVA,Dormindo,Tombamento,Sem Vítimas,Amanhecer,Decrescente,Ceu Claro,Dupla,Curva,Rural,2008,1,0,0,0,1,0,0,1
801,325106,01/01/2008,Terça,01:40:00,MG,365,631,UBERLANDIA,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Dupla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
139037,471238,31/12/2008,Quarta,00:30:00,SP,116,545.0,BARRA DO TURVO,Outras,Capotamento,Com Vítimas Feridas,Plena noite,Decrescente,Chuva,Dupla,Curva,Rural,2008,2,0,1,0,1,0,1,1
139212,471420,31/12/2008,Quarta,07:50:00,SP,381,7.0,VARGEM,Outras,Colisão com objeto móvel,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Reta,Rural,2008,2,0,0,0,2,0,0,1
139719,472451,31/12/2008,Quarta,05:15:00,SP,116,133.0,CACAPAVA,Defeito mecânico em veículo,Colisão com objeto fixo,Sem Vítimas,Amanhecer,Decrescente,Ceu Claro,Dupla,Reta,Rural,2008,1,0,0,0,1,0,0,1
139205,471412,31/12/2008,Quarta,15:40:00,SP,381,3.0,VARGEM,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Rural,2008,3,0,1,0,2,0,1,1
139763,472563,31/12/2008,Quarta,21:00:00,SP,116,5.0,GUARULHOS,Outras,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Nublado,Dupla,Reta,Urbano,2008,3,0,0,0,3,0,0,3
139768,472583,31/12/2008,Quarta,01:40:00,SP,101,37.0,UBATUBA,Outras,Colisão frontal,Sem Vítimas,Plena noite,Decrescente,Ceu Claro,Simples,Reta,Urbano,2008,2,0,0,0,2,0,0,2
139774,472598,31/12/2008,Quarta,02:00:00,SP,101,48.8,UBATUBA,Outras,Colisão frontal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2008,3,0,2,0,1,0,2,2
139795,472679,31/12/2008,Quarta,14:00:00,SP,116,222.0,GUARULHOS,Falta de atenção,Colisão lateral,Sem Vítimas,Pleno dia,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
139798,472696,31/12/2008,Quarta,17:30:00,SP,381,73.8,SAO PAULO,Outras,Capotamento,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Rural,2008,1,0,0,0,1,0,0,1
139178,471385,31/12/2008,Quarta,04:30:00,SP,116,534.0,BARRA DO TURVO,Outras,Saída de Pista,Sem Vítimas,Plena noite,Decrescente,Nublado,Dupla,Reta,Rural,2008,1,0,0,0,1,0,0,1
139081,471284,31/12/2008,Quarta,00:10:00,SP,116,518.0,CAJATI,Desobediência à sinalização,Colisão traseira,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Dupla,Reta,Rural,2008,2,0,0,0,2,0,0,2
